food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"Turkey, raw, with added solution, meat and skin, from whole bird, back",100.0,206.0,37.0,86.0,29.0,D,Iron,General nutrition,All ages,"Eczema, Binge Eating Disorder"
"Babyfood, strained, vegetables and beef, dinner",100.0,77.0,2.0,55.0,23.0,E,"Zinc, Magnesium",General nutrition,All ages,"Glycogen Storage Disease, Thalassemia"
"CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Rice Soup",100.0,30.0,17.0,11.0,1.0,"A, E, D","Calcium, Iron",General nutrition,Old age,Celiac Disease
"Babyfood, strained, pineapple, fruit pudding, dessert",100.0,81.0,33.0,4.0,15.0,E,Calcium,General nutrition,Children,"Thalassemia, Crohn's Disease, Gaucher's Disease"
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round",100.0,224.0,37.0,42.0,10.0,"A, E, C, B","Calcium, Zinc",General nutrition,Children,Hypothyroidism
"Beef, cooked, all grades, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",100.0,230.0,25.0,25.0,19.0,"E, D, C",Calcium,General nutrition,Old age,"Maple Syrup Urine Disease, None, Liver Disease"
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",100.0,124.0,4.0,40.0,18.0,"D, B",Magnesium,General nutrition,Adults,"Seizure Disorders, Tay-Sachs Disease, Macular Degeneration"
"Duck, roasted, cooked, meat and skin, domesticated",100.0,337.0,1.0,75.0,19.0,"B, D, A","Zinc, Calcium",General nutrition,Children,"Zellweger Spectrum Disorder, None, Breast Cancer"
"Soup, prepared with equal volume water, canned, chicken mushroom",100.0,54.0,45.0,90.0,23.0,"A, B, E",Zinc,General nutrition,Children,"Anemia, Thalassemia, Hypoglycemia"
"Beverages, SPECIAL K Protein Shake, KELLOGG'S",100.0,64.0,8.0,45.0,28.0,"C, D","Calcium, Iron",General nutrition,Old age,"Asthma, Dementia"
"Ice creams, vanilla",100.0,207.0,45.0,34.0,6.0,B,"Iron, Magnesium",General nutrition,Children,"Addison's Disease, Cancer"
"Restaurant, chili with meat and beans, family style",100.0,157.0,37.0,14.0,9.0,"B, D, A, E","Calcium, Iron",General nutrition,Old age,"Hemophilia, Chronic Fatigue Syndrome, Tay-Sachs Disease"
"Cereals ready-to-eat, Fruit & Yogurt, SPECIAL K, KELLOGG",100.0,367.0,47.0,61.0,12.0,"B, E","Zinc, Magnesium","Antioxidant boost, Immune support, Skin health",Children,"Canavan Disease, Chronic Pain"
"Candies, ALMOND JOY Candy Bar",100.0,479.0,15.0,8.0,4.0,"D, B, C, E","Calcium, Zinc, Iron",General nutrition,Old age,"Diverticulitis, Hypoglycemia, Food Allergies"
"Toaster Pastries, Frosted strawberry, KELLOGG'S LOW FAT POP TARTS, KELLOGG",100.0,363.0,12.0,42.0,3.0,B,"Magnesium, Calcium, Iron",General nutrition,Adults,Pancreatitis
"Spinach, raw",100.0,23.0,13.0,83.0,5.0,"B, A, C, E",Magnesium,General nutrition,Children,"Zellweger Spectrum Disorder, Hemochromatosis, Cataracts"
"BURGER KING, Onion Rings",100.0,417.0,6.0,9.0,7.0,"C, A, D, E","Magnesium, Calcium, Iron",General nutrition,Adults,"Lymphoma, Obesity"
