Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Turkey, raw, with added solution, meat and skin, from whole bird, back",206,37,86,29,General nutrition,All ages,Dinner,21.7,Normal weight
"Babyfood, strained, vegetables and beef, dinner",77,2,55,23,General nutrition,All ages,Dinner,18.5,Underweight
"CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Rice Soup",30,17,11,1,General nutrition,Old age,Lunch,18.5,Underweight
"Babyfood, strained, pineapple, fruit pudding, dessert",81,33,4,15,General nutrition,Children,Snack,18.5,Underweight
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round",224,37,42,10,General nutrition,Children,Dinner,21.7,Normal weight
"Beef, cooked, all grades, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",230,25,25,19,General nutrition,Old age,Other,21.7,Normal weight
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",124,4,40,18,General nutrition,Adults,Dinner,18.5,Underweight
"Duck, roasted, cooked, meat and skin, domesticated",337,1,75,19,General nutrition,Children,Dinner,21.7,Normal weight
"Soup, prepared with equal volume water, canned, chicken mushroom",54,45,90,23,General nutrition,Children,Lunch,18.5,Underweight
"Beverages, SPECIAL K Protein Shake, KELLOGG'S",64,8,45,28,General nutrition,Old age,Other,18.5,Underweight
"Ice creams, vanilla",207,45,34,6,General nutrition,Children,Other,21.7,Normal weight
"Restaurant, chili with meat and beans, family style",157,37,14,9,General nutrition,Old age,Dinner,18.5,Underweight
"Cereals ready-to-eat, Fruit & Yogurt, SPECIAL K, KELLOGG",367,47,61,12,"Antioxidant boost, Immune support, Skin health",Children,Breakfast,21.7,Normal weight
"Candies, ALMOND JOY Candy Bar",479,15,8,4,General nutrition,Old age,Snack,27.45,Overweight
"Toaster Pastries, Frosted strawberry, KELLOGG'S LOW FAT POP TARTS, KELLOGG",363,12,42,3,General nutrition,Adults,Breakfast,21.7,Normal weight
"Spinach, raw",23,13,83,5,General nutrition,Children,Other,18.5,Underweight
"BURGER KING, Onion Rings",417,6,9,7,General nutrition,Adults,Lunch,27.45,Overweight
"Veal, roasted, cooked, separable lean only, blade, shoulder",171,46,21,5,General nutrition,Children,Other,18.5,Underweight
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",239,1,69,10,General nutrition,All ages,Other,21.7,Normal weight
"Pork, raw, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",132,6,50,21,General nutrition,All ages,Dinner,18.5,Underweight
"Fish, dry heat (may have been previously frozen), cooked, Alaska, pollock",111,1,68,17,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Chicken, roasted, meat and skin and giblets and neck, broilers or fryers",234,11,32,0,General nutrition,All ages,Dinner,21.7,Normal weight
"Cookies, baked, refrigerated dough, oatmeal",471,33,27,5,General nutrition,Adults,Breakfast,27.45,Overweight
"Waffles, ready-to-heat, frozen, gluten-free",263,43,99,1,General nutrition,All ages,Other,21.7,Normal weight
"MURRAY, Pecan Shortbread Cookies, SUGAR FREE",514,13,72,1,General nutrition,Adults,Other,27.45,Overweight
"Spaghetti, canned, with meatballs in tomato sauce",100,4,27,5,General nutrition,Adults,Dinner,18.5,Underweight
"Pork, broiled, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh",209,42,21,28,General nutrition,Adults,Other,21.7,Normal weight
"Oil, salad or cooking, cottonseed",884,4,9,8,General nutrition,Adults,Lunch,30.0,Obesity
"Meat drippings (lard, beef tallow, mutton tallow)",889,29,50,28,"Muscle building, Iron absorption, Zinc boost",Old age,Dinner,30.0,Obesity
"Cowpeas, with salt, drained, boiled, cooked, young pods with seeds",34,31,38,18,General nutrition,Adults,Other,18.5,Underweight
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",289,48,59,10,General nutrition,Children,Dinner,21.7,Normal weight
"Cereals ready-to-eat, chocolate, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES",354,40,74,1,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Lamb, cooked, Intermuscular fat, imported, New Zealand",596,2,13,6,General nutrition,Adults,Other,27.45,Overweight
"Chicken, raw, meat and skin, back, broilers or fryers",319,45,29,3,General nutrition,Old age,Dinner,21.7,Normal weight
"Veal, raw, separable lean and fat, boneless, whole, breast",208,22,39,22,General nutrition,Adults,Other,21.7,Normal weight
"Biscuits, baked, lower fat, refrigerated dough, plain or buttermilk",319,30,75,20,General nutrition,All ages,Other,21.7,Normal weight
"Potatoes, unprepared, frozen, salt not added in processing, steak cut, french fried",138,11,2,26,General nutrition,All ages,Dinner,18.5,Underweight
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, porterhouse steak, short loin",212,32,31,29,General nutrition,Children,Dinner,21.7,Normal weight
"Pie, prepared from recipe, cherry",270,44,51,16,General nutrition,Old age,Other,21.7,Normal weight
"Wheat germ, crude",360,16,0,12,General nutrition,Old age,Other,21.7,Normal weight
"BURGER KING, no cheese, DOUBLE WHOPPER",252,26,1,27,General nutrition,Old age,Lunch,21.7,Normal weight
"Cereals ready-to-eat, MOTHER'S COCOA BUMPERS, QUAKER",382,14,46,8,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
