Food Item,Category,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Health Benefits,Suitable for Age Group,Health Condition,Deficiency,Recommended Diet
Jollof Rice,Main Dish,300,5,50,8,2,Provides energy, rich in carbohydrates,General,General,Moderate carbohydrate intake
Fufu with Light Soup,Main Dish,350,10,70,5,4,High in carbs, moderate protein,General,High energy needs,Increase iron-rich foods (e.g.  leafy greens red meat)
Waakye,Main Dish,400,15,60,10,6,High protein and fiber,Adolescents, Adults,,Increase fiber intake
Kelewele,Snack,200,2,30,10,3,Rich in vitamins, good for digestion,General,General,Increase dietary fiber
Banku with Okro Stew,Main Dish,450,20,65,15,5,High protein, rich in vitamins,Children, Adults,Iron deficiency Include iron-rich foods (e.g.  spinach  beans)
Kenkey with Fish,Main Dish,500,25,60,20,7,High protein, omega-3 from fish,Adults, Elderly,Heart health Increase omega-3 sources
Plantain Chips,Snack,150,1,25,5,2,Good for energy, moderate fat,General,General,Moderate fat intake 
Koko (Millet Porridge),Breakfast,120,3,20,2,3,Good source of iron, promotes digestion,General,General,Increase iron intake
Kontomire Stew,Side Dish,100,5,10,3,4,Rich in iron and vitamins,General,Anemia prevention,,Iron deficiency
Red Red,Main Dish,380,12,50,15,6,High fiber, protein-rich,General,Fiber needs,Increase fiber intake
Groundnut Soup with Rice Balls,Main Dish,420,15,60,20,5,High protein, rich in healthy fats,General,Heart health,Include healthy fats
Chinchinga (Kebabs),Snack,180,15,5,10,1,High protein, good source of iron,General,General,Iron-rich foods
Yam and Palava Sauce,Main Dish,350,7,70,5,4,High in carbs, rich in vitamins,General,General,Balanced diet
Boiled Plantain with Kontomire Stew,Main Dish,320,5,60,10,6,High in fiber, rich in iron and vitamins,General,Fiber needs,Anemia prevention Increase fiber and iron intake
Koko with Bofrot,Breakfast,250,5,40,10,2,Good source of energy, moderate protein,General,General,Increase protein sources
Eto (Mashed Yam with Eggs),Main Dish,300,10,50,10,3,High in protein, rich in vitamins,General,General,Balanced protein intake
