Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Turkey, raw, with added solution, meat and skin, from whole bird, back",206,37,86,29,D,Breakfast,25.6,Overweight,Iron,General nutrition,All ages,"Eczema, Binge Eating Disorder"
"Babyfood, strained, vegetables and beef, dinner",77,2,55,23,E,Snacks,23.3,Normal weight,"Zinc, Magnesium",General nutrition,All ages,"Glycogen Storage Disease, Thalassemia"
"CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Rice Soup",30,17,11,1,"A, E, D",Snacks,16.1,Underweight,"Calcium, Iron",General nutrition,Old age,Celiac Disease
"Babyfood, strained, pineapple, fruit pudding, dessert",81,33,4,15,E,Snacks,18.6,Normal weight,Calcium,General nutrition,Children,"Thalassemia, Crohn's Disease, Gaucher's Disease"
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round",224,37,42,10,"A, E, C, B",Breakfast,19.6,Normal weight,"Calcium, Zinc",General nutrition,Children,Hypothyroidism
"Beef, cooked, all grades, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",230,25,25,19,"E, D, C",Others,22.1,Normal weight,Calcium,General nutrition,Old age,"Maple Syrup Urine Disease, None, Liver Disease"
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",124,4,40,18,"D, B",Snacks,19.7,Normal weight,Magnesium,General nutrition,Adults,"Seizure Disorders, Tay-Sachs Disease, Macular Degeneration"
"Duck, roasted, cooked, meat and skin, domesticated",337,1,75,19,"B, D, A",Others,21.8,Normal weight,"Zinc, Calcium",General nutrition,Children,"Zellweger Spectrum Disorder, None, Breast Cancer"
"Soup, prepared with equal volume water, canned, chicken mushroom",54,45,90,23,"A, B, E",Snacks,29.3,Overweight,Zinc,General nutrition,Children,"Anemia, Thalassemia, Hypoglycemia"
"Beverages, SPECIAL K Protein Shake, KELLOGG'S",64,8,45,28,"C, D",Snacks,19.8,Normal weight,"Calcium, Iron",General nutrition,Old age,"Asthma, Dementia"
"Ice creams, vanilla",207,45,34,6,B,Others,22.0,Normal weight,"Iron, Magnesium",General nutrition,Children,"Addison's Disease, Cancer"
"Restaurant, chili with meat and beans, family style",157,37,14,9,"B, D, A, E",Snacks,23.3,Normal weight,"Calcium, Iron",General nutrition,Old age,"Hemophilia, Chronic Fatigue Syndrome, Tay-Sachs Disease"
"Cereals ready-to-eat, Fruit & Yogurt, SPECIAL K, KELLOGG",367,47,61,12,"B, E",Breakfast,29.9,Overweight,"Zinc, Magnesium","Antioxidant boost, Immune support, Skin health",Children,"Canavan Disease, Chronic Pain"
"Candies, ALMOND JOY Candy Bar",479,15,8,4,"D, B, C, E",Others,20.4,Normal weight,"Calcium, Zinc, Iron",General nutrition,Old age,"Diverticulitis, Hypoglycemia, Food Allergies"
"Toaster Pastries, Frosted strawberry, KELLOGG'S LOW FAT POP TARTS, KELLOGG",363,12,42,3,B,Breakfast,21.3,Normal weight,"Magnesium, Calcium, Iron",General nutrition,Adults,Pancreatitis
"Spinach, raw",23,13,83,5,"B, A, C, E",Snacks,23.3,Normal weight,Magnesium,General nutrition,Children,"Zellweger Spectrum Disorder, Hemochromatosis, Cataracts"
"BURGER KING, Onion Rings",417,6,9,7,"C, A, D, E",Others,17.7,Underweight,"Magnesium, Calcium, Iron",General nutrition,Adults,"Lymphoma, Obesity"
